No.,Cat,Article,Article Name,MC2,MC5,Cat.,Remark
139,ห้องนอนและเครื่อนอน,10337538,UAT-ที่นอนปิคนิค 95-105ซม. ลายดาว สีน้ำต,DTB: เครื่องนอนและสิ่งทอ,DTB050103: ที่นอนปิกนิคใยสังเคร,C19030301,new cat.
140,ห้องนอนและเครื่อนอน,10337539,"UAT-ปลอกหมอนหนุน20""x30""+6""CT ริ้วDecos ส",DTB: เครื่องนอนและสิ่งทอ,DTB170202: ปลอกหมอนหนุนสีพื้น,C19010301,new cat.
141,ห้องนอนและเครื่อนอน,10337540,UAT-ปลอกหมอนหนุน พื้น ขาว พ.2 TULIP,DTB: เครื่องนอนและสิ่งทอ,DTB170202: ปลอกหมอนหนุนสีพื้น,C19010301,new cat.
142,ห้องนอนและเครื่อนอน,10337541,UAT-ผ้าปู 3.5 ฟุต 3 ชิ้น DLC076 Tulip,DTB: เครื่องนอนและสิ่งทอ,DTB080309: ผ้าปูCT การ์ตูน,C19010401,new cat.
143,ห้องนอนและเครื่อนอน,10337542,"UAT-ผ้าห่มผ้าแพร 60""X80"" NO.15",DTB: เครื่องนอนและสิ่งทอ,DTB130303: ผ้าห่ม แพร,C19010601,new cat.
144,ห้องนอนและเครื่อนอน,10337543,UAT-มุ้งครอบผู้ใหญ่ไนล่อน XXL เขียว,DTB: เครื่องนอนและสิ่งทอ,DTB190104: มุ้งครอบ,C19020601,new cat.
145,ห้องนอนและเครื่อนอน,10337544,UAT-ม่านกันยุง 90*210 ฟ้า TK-48/BL,DTB: เครื่องนอนและสิ่งทอ,DTB190102: มุ้งลูกไม้,C19020602,new cat.
153,สวนและอุกรณ์ตกแต่ง,10337563,UAT-ตาข่ายปลูกไม้เลื่อย 1.80ม.* 60ม.,DCC: เกษตรและสวน.,DCC060301: วัสดุคลุมเอนกประสงค์,C10050601,new cat.
155,โคมไฟและหลอดไฟ,10337565,UAT-โคมห้อยดิ่งพลาสติก 1L เหลือง MD D250,DUU: โคมไฟ,DUU010404: ช่อพลาสติก/อะคริลิค,C18080101,new cat.
156,โคมไฟและหลอดไฟ,10337566,UAT-สายห้อย-ซิลิโคน ขั้วE27 สีขาว HP,DUU: โคมไฟ,DUU010404: ช่อพลาสติก/อะคริลิค,C18080101,new cat.
